Page_Type,Plan_Name,Price,Data_Details,Full_Details
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Postpaid Mobile Plans","Want a phone plan for less?","$45","40GB","Want a phone plan for less? | Get 40GB for $45/mo. | per month | + | 10GB |   bonus data | . | Available on new activations when you bring your own phone. Includes Autopay credit1."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now | Prices may increase during subscription."
"Home Internet","Special offer just for you","$50","300 Mbps","Special offer just for you | Get up to 300 Mbps unlimited internet for $50/mo. | Shop now"
"Home Internet","More to love. Keep Scrolling.","$55","128GB","More to love. Keep Scrolling. | Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription. | Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit. | Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","More to love. Keep Scrolling.","$55","128GB","More to love. Keep Scrolling. | Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription. | Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit. | Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","128GB","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription. | Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit. | Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","N/A","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","N/A","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","N/A","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","N/A","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month | Shop now | After a credit of $15 for 12 months. | Prices may increase during subscription."
"Home Internet","Looking for affordable internet? Here’s the perfect fit.","$55","N/A","Looking for affordable internet? Here’s the perfect fit. | Starting from $55/mo. | per month"
"Home Internet","Save up to $900* on the new Samsung Galaxy S25 FE with trade in.","$900","128GB","Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit."
"Home Internet","Save up to $900* on the new Samsung Galaxy S25 FE with trade in.","$900","128GB","Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit."
"Home Internet","Save up to $900* on the new Samsung Galaxy S25 FE with trade in.","$900","128GB","Save up to $900* on the new Samsung Galaxy S25 FE with trade in. | Get it for $0 down, 0% APR. with Sweet Pay on eligible 2-year plans. | Visit a store or click here for more information. | Shop now | *Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit."
"Home Internet","*Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit.","$900","128GB","*Over 24 months with Sweet Pay™ vs our full device price. Must trade in a Samsung Galaxy S24 FE 128GB in new condition to be eligible for the full $900 credit."
"Home Internet","Pay less for more.","$5","N/A","Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Pay less for more.","$5","N/A","Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Pay less for more.","$5","N/A","Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Pay less for more.","$5","N/A","Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR. | Shop now | With Sweet Pay™ on eligible 2-year plans. Taxes extra."
"Home Internet","Pay less for more.","$5","N/A","Pay less for more. | Get a pre-loved iPhone 13 starting from $5/mo. | per month | , $0 down, 0% APR."
